,importance,stddev,p_value,n,p99_high,p99_low
pkt_2_tcp_wsize_15,0.0030000000000000027,0.0017320508075688791,0.04773298313335456,3,0.012924843200918084,-0.006924843200918079
pkt_1_udp_cksum_0,0.002999999999999966,0.0036055512754639306,0.14312678642683416,3,0.023660208641383396,-0.017660208641383467
pkt_2_tcp_wsize_11,0.002666666666666669,0.0025166114784235852,0.1039409828093302,3,0.01708712951442955,-0.011753796181096213
pkt_0_tcp_wsize_12,0.002666666666666632,0.00472581562625255,0.21573237819251956,3,0.029746114268344358,-0.02441278093501109
pkt_0_ipv4_proto_5,0.0023333333333333353,0.001527525231651948,0.059041448155901566,3,0.0110862223036465,-0.00641955563697983
pkt_2_ipv4_tl_12,0.0023333333333333353,0.0020816659994661343,0.09585481156726196,3,0.014261510353950095,-0.009594843687283425
pkt_0_tcp_opt_66,0.0023333333333333353,0.001527525231651948,0.059041448155901566,3,0.0110862223036465,-0.00641955563697983
pkt_1_ipv4_tos_2,0.0023333333333333353,0.001527525231651948,0.059041448155901566,3,0.0110862223036465,-0.00641955563697983
pkt_2_udp_cksum_15,0.0023333333333333353,0.001527525231651948,0.059041448155901566,3,0.0110862223036465,-0.00641955563697983
pkt_0_udp_len_11,0.0020000000000000018,0.0010000000000000009,0.03708995011372426,3,0.007730110893714883,-0.003730110893714879
pkt_2_ipv4_ttl_1,0.0020000000000000018,0.0017320508075688791,0.09175170953613697,3,0.011924843200918083,-0.00792484320091808
pkt_0_tcp_cksum_2,0.0020000000000000018,0.0010000000000000009,0.03708995011372426,3,0.007730110893714883,-0.003730110893714879
pkt_2_tcp_wsize_13,0.0020000000000000018,0.001732050807568879,0.09175170953613696,3,0.011924843200918082,-0.007924843200918078
pkt_1_tcp_wsize_1,0.001666666666666668,0.0005773502691896263,0.01887477567531187,3,0.0049749477336393615,-0.0016416144003060255
pkt_2_ipv4_id_0,0.001666666666666668,0.001527525231651948,0.09967961548728213,3,0.010419555636979834,-0.007086222303646497
pkt_2_tcp_wsize_12,0.001666666666666668,0.0011547005383792527,0.06480586011075541,3,0.008283228800612056,-0.004949895467278719
pkt_0_tcp_opt_107,0.001666666666666668,0.0011547005383792527,0.06480586011075541,3,0.008283228800612056,-0.004949895467278719
pkt_0_tcp_opt_104,0.001666666666666668,0.0005773502691896263,0.01887477567531187,3,0.0049749477336393615,-0.0016416144003060255
pkt_2_udp_len_9,0.001666666666666668,0.001527525231651948,0.09967961548728213,3,0.010419555636979834,-0.007086222303646497
pkt_2_tcp_doff_1,0.001666666666666668,0.0020816659994661348,0.14992997899299765,3,0.013594843687283432,-0.010261510353950095
pkt_1_udp_cksum_4,0.0013333333333333346,0.0025166114784235852,0.22783447302409132,3,0.01575379618109622,-0.013087129514429549
pkt_2_udp_cksum_9,0.0013333333333333346,0.0011547005383792527,0.09175170953613696,3,0.007949895467278721,-0.005283228800612052
pkt_1_tcp_wsize_0,0.0013333333333333346,0.002309401076758505,0.21132486540518713,3,0.014566457601224107,-0.011899790934557439
pkt_0_tcp_wsize_3,0.0013333333333333346,0.003055050463303896,0.2642977396044842,3,0.018839111273959666,-0.016172444607292995
pkt_1_ipv4_cksum_11,0.0013333333333333346,0.002309401076758505,0.21132486540518713,3,0.014566457601224107,-0.011899790934557439
pkt_2_tcp_wsize_6,0.0013333333333333346,0.0020816659994661348,0.19139330007581623,3,0.013261510353950097,-0.01059484368728343
pkt_2_tcp_wsize_3,0.0013333333333333346,0.0015275252316519481,0.13485162832988923,3,0.010086222303646501,-0.007419555636979832
pkt_0_tcp_opt_55,0.0013333333333333346,0.0025166114784235852,0.22783447302409132,3,0.01575379618109622,-0.013087129514429549
pkt_0_tcp_wsize_2,0.0013333333333333346,0.003055050463303896,0.2642977396044842,3,0.018839111273959666,-0.016172444607292995
pkt_2_udp_cksum_11,0.0013333333333333346,0.001527525231651948,0.13485162832988917,3,0.0100862223036465,-0.00741955563697983
pkt_0_tcp_opt_106,0.0013333333333333346,0.0011547005383792527,0.09175170953613696,3,0.007949895467278721,-0.005283228800612052
pkt_1_udp_cksum_6,0.0013333333333333346,0.001527525231651948,0.13485162832988917,3,0.0100862223036465,-0.00741955563697983
pkt_0_tcp_opt_97,0.0013333333333333346,0.0005773502691896263,0.02859547920896832,3,0.004641614400306028,-0.001974947733639359
pkt_2_tcp_cksum_2,0.0013333333333333346,0.0005773502691896263,0.02859547920896832,3,0.004641614400306028,-0.001974947733639359
pkt_2_udp_len_8,0.0013333333333333346,0.0005773502691896263,0.02859547920896832,3,0.004641614400306028,-0.001974947733639359
pkt_2_tcp_opt_26,0.0010000000000000009,0.0010000000000000009,0.11270166537925828,3,0.006730110893714882,-0.00473011089371488
pkt_2_tcp_opt_92,0.0010000000000000009,0.0010000000000000009,0.11270166537925828,3,0.006730110893714882,-0.00473011089371488
pkt_2_ipv4_tl_10,0.0010000000000000009,0.001732050807568879,0.21132486540518713,3,0.01092484320091808,-0.008924843200918079
pkt_0_tcp_cksum_12,0.0010000000000000009,0.0010000000000000009,0.11270166537925828,3,0.006730110893714882,-0.00473011089371488
pkt_2_ipv4_ttl_3,0.0010000000000000009,0.0010000000000000009,0.11270166537925828,3,0.006730110893714882,-0.00473011089371488
pkt_0_tcp_opt_27,0.0010000000000000009,0.0010000000000000009,0.11270166537925828,3,0.006730110893714882,-0.00473011089371488
pkt_2_tcp_wsize_0,0.0010000000000000009,0.0010000000000000009,0.11270166537925828,3,0.006730110893714882,-0.00473011089371488
pkt_0_tcp_opt_159,0.0010000000000000009,0.0017320508075688791,0.21132486540518713,3,0.010924843200918083,-0.00892484320091808
pkt_0_tcp_opt_109,0.0010000000000000009,0.0010000000000000009,0.11270166537925828,3,0.006730110893714882,-0.00473011089371488
pkt_0_tcp_opt_102,0.0010000000000000009,0.0010000000000000009,0.11270166537925828,3,0.006730110893714882,-0.00473011089371488
